sector,Company,기준가,Date,Volume,close,high,low,open,배당성향,gold,유가,Trend_B,Trend_F,C_operation,C_Investing,C_Finance,매출이익,순이익,영업이익,EPS,PBR,PER,UpDI,DownDI,DMI,수익률
Consumer Discretionary,AAPL.UW.Equity,1005.228758,2004-01-01,1162.513422,1.61,1.77,1.51,21.55,0,399.75,34.31,21,17,6,-403,-224,2006,63,74,0,1.8,64.8,31.02,8.14,3.810810811,5.22875817
Consumer Discretionary,AAPL.UW.Equity,1011.439938,2004-02-01,651.249508,1.71,1.72,1.55,22.46,0,395.85,34.68,22,18,6,-403,-224,2006,63,74,0,1.8,64.8,27.86,7.32,3.806010929,6.211180124
Consumer Discretionary,AAPL.UW.Equity,1024.305435,2004-03-01,1439.70701,1.93,2.01,1.69,24.1,0,423.7,36.74,23,17,6,-403,-224,2006,63,74,0,1.8,64.8,38.97,5.99,6.505843072,12.86549708
Consumer Discretionary,AAPL.UW.Equity,1019.642223,2004-04-01,1120.097216,1.84,2.11,1.82,26.89,0,388.5,36.75,21,15,57,-460,211,1909,46,62,0,2.2,62.9,38.37,5.04,7.613095238,-4.663212435
Consumer Discretionary,AAPL.UW.Equity,1028.337875,2004-05-01,686.06986,2,2.06,1.82,26,0,393.25,40.28,20,14,57,-460,211,1909,46,62,0,2.2,62.9,33.45,4.39,7.619589977,8.695652174
Consumer Discretionary,AAPL.UW.Equity,1044.337875,2004-06-01,1118.751774,2.32,2.44,1.97,27.79,0,395.8,38.03,21,16,57,-460,211,1909,46,62,0,2.2,62.9,44.61,3.39,13.15929204,16
Consumer Discretionary,AAPL.UW.Equity,1043.906841,2004-07-01,1174.298272,2.31,2.4,2.05,32.1,0,391.4,40.78,22,19,NA,NA,NA,2014,61,80,0,2.6,59.2,37.29,2.83,13.17667845,-0.431034483
Consumer Discretionary,AAPL.UW.Equity,1050.400347,2004-08-01,852.258834,2.46,2.51,2.12,31.18,0,407.25,44.9,21,19,NA,NA,NA,2014,61,80,0,2.6,59.2,35.72,2.34,15.26495726,6.493506494
Consumer Discretionary,AAPL.UW.Equity,1063.001973,2004-09-01,1021.060544,2.77,2.81,2.44,34.29,0,415.65,45.94,24,19,NA,NA,NA,2014,61,80,0,2.6,59.2,42.78,1.97,21.71573604,12.60162602
Consumer Discretionary,AAPL.UW.Equity,1098.381035,2004-10-01,2093.36757,3.75,3.8,2.69,39.11,0,425.55,53.28,26,19,2,-1523,254,2350,106,133,0,3,52.4,59.52,1.26,47.23809524,35.37906137
Consumer Discretionary,AAPL.UW.Equity,1126.114368,2004-11-01,2262.994412,4.79,4.97,3.72,52.5,0,453.4,48.47,24,22,2,-1523,254,2350,106,133,0,3,52.4,70.26,0.86,81.69767442,27.73333333
Consumer Discretionary,AAPL.UW.Equity,1122.147771,2004-12-01,2126.279806,4.6,4.85,4.4,67.79,0,435.6,43.15,23,19,2,-1523,254,2350,106,133,0,3,52.4,62.03,0.76,81.61842105,-3.966597077
Consumer Discretionary,AAPL.UW.Equity,1141.495597,2005-01-01,3089.099076,5.49,5.57,4.47,64.78,0,422.15,46.84,32,25,2,-909,152,3490,295,403,0.1,4.5,50.3,62.76,0.57,110.1052632,19.34782609
Consumer Discretionary,AAPL.UW.Equity,1158.253338,2005-02-01,2676.156931,6.41,6.49,5.47,77.05,0,435.45,48.15,33,24,2,-909,152,3490,295,403,0.1,4.5,50.3,33.57,18.79,1.786588611,16.75774135
Consumer Discretionary,AAPL.UW.Equity,1151.077051,2005-03-01,1966.053635,5.95,6.44,5.55,44.99,0,427.5,54.19,27,21,2,-909,152,3490,295,403,0.1,4.5,50.3,31.32,23,1.36173913,-7.176287051
Consumer Discretionary,AAPL.UW.Equity,1137.631673,2005-04-01,2475.981256,5.15,6.35,4.87,42.09,0,435.7,52.98,27,20,-2,305,63,3243,290,402,0.1,5.4,45.3,27.75,25.65,1.081871345,-13.44537815
Consumer Discretionary,AAPL.UW.Equity,1147.72876,2005-05-01,1745.084222,5.67,5.85,4.73,36.21,0,414.45,49.83,26,20,-2,305,63,3243,290,402,0.1,5.4,45.3,25.26,24.37,1.036520312,10.09708738
Consumer Discretionary,AAPL.UW.Equity,1140.49772,2005-06-01,1494.496129,5.26,5.82,5.07,39.89,0,437.1,56.35,25,20,-2,305,63,3243,290,402,0.1,5.4,45.3,23.62,22.79,1.036419482,-7.231040564
Consumer Discretionary,AAPL.UW.Equity,1156.277188,2005-07-01,1236.615786,6.09,6.34,5.18,36.83,0,429,59,24,19,NA,NA,NA,3520,319,426,0.1,4.5,30.5,25.81,20.43,1.263338228,15.77946768
Consumer Discretionary,AAPL.UW.Equity,1166.293608,2005-08-01,1171.077103,6.7,6.9,6.01,42.57,0,433.25,64.99,25,21,NA,NA,NA,3520,319,426,0.1,4.5,30.5,28.94,18.69,1.548421616,10.01642036
Consumer Discretionary,AAPL.UW.Equity,1180.621966,2005-09-01,1629.532324,7.66,7.79,6.58,47,0,473.25,65.59,32,25,NA,NA,NA,3520,319,426,0.1,4.5,30.5,34.14,16.51,2.067837674,14.32835821
Consumer Discretionary,AAPL.UW.Equity,1188.063219,2005-10-01,2240.705607,8.23,8.28,6.84,54.16,0,470.75,62.26,35,25,NA,93,283,3678,428,412,0.1,6,34.4,34.1,14.23,2.396345748,7.441253264
Consumer Discretionary,AAPL.UW.Equity,1205.803195,2005-11-01,1702.196713,9.69,10.15,8.12,57.24,0,495.65,58.32,30,24,NA,93,283,3678,428,412,0.1,6,34.4,44.73,11.62,3.84939759,17.7399757
Consumer Discretionary,AAPL.UW.Equity,1211.788747,2005-12-01,1622.364086,10.27,10.78,9.84,68.95,0,513,59.41,28,23,NA,93,283,3678,428,412,0.1,6,34.4,46.03,10.44,4.409003831,5.985552116
Consumer Discretionary,AAPL.UW.Equity,1216.852038,2006-01-01,2939.756211,10.79,12.44,10.12,72.38,0,568.75,65.49,35,25,3,2462,-141,5749,565,750,0.1,7.3,38.7,50.76,8.42,6.028503563,5.063291139
Consumer Discretionary,AAPL.UW.Equity,1207.584198,2006-02-01,3448.44892,9.79,10.92,8.99,74.95,0,556,61.63,28,24,3,2462,-141,5749,565,750,0.1,7.3,38.7,42.49,16.63,2.555021046,-9.267840593
Consumer Discretionary,AAPL.UW.Equity,1199.106159,2006-03-01,4250.490083,8.96,10,8.24,69,0,582,62.69,27,21,3,2462,-141,5749,565,750,0.1,7.3,38.7,36.3,20.4,1.779411765,-8.478038815
Consumer Discretionary,AAPL.UW.Equity,1211.382945,2006-04-01,3663.745946,10.06,10.29,8.72,63.66,0,644,69.44,28,23,-2,531,129,4359,410,529,0.1,6.1,31.7,34.01,17.73,1.91821771,12.27678571
Consumer Discretionary,AAPL.UW.Equity,1196.273601,2006-05-01,2907.499742,8.54,10.48,8.39,70.77,0,653,70.84,26,22,-2,531,129,4359,410,529,0.1,6.1,31.7,28.18,17.37,1.622337363,-15.10934394
Consumer Discretionary,AAPL.UW.Equity,1191.823952,2006-06-01,3334.32267,8.16,9.01,7.92,59.85,0,613.5,70.95,23,19,-2,531,129,4359,410,529,0.1,6.1,31.7,25.6,19.68,1.300813008,-4.449648712
Consumer Discretionary,AAPL.UW.Equity,1210.81905,2006-07-01,3164.26362,9.71,9.8,7.19,57.52,0,632.5,74.41,24,21,14,-2729,53,4370,472,566,0.1,5.2,26.6,26.48,15.7,1.686624204,18.99509804
Consumer Discretionary,AAPL.UW.Equity,1210.613077,2006-08-01,2165.59868,9.69,10,8.94,67.2,0,623.5,73.04,26,23,14,-2729,53,4370,472,566,0.1,5.2,26.6,25.79,14.35,1.797212544,-0.205973223
Consumer Discretionary,AAPL.UW.Equity,1224.132169,2006-09-01,2190.163717,11,11.11,9.69,68.48,0,599.25,63.8,32,24,14,-2729,53,4370,472,566,0.1,5.2,26.6,31.92,12.67,2.519337017,13.51909185
Consumer Discretionary,AAPL.UW.Equity,1229.404896,2006-10-01,1824.541117,11.58,11.8,10.37,75.09,0,603.75,58.89,33,24,5,-1234,188,4837,542,608,0.1,6.6,33.8,33.86,11.15,3.0367713,5.272727273
Consumer Discretionary,AAPL.UW.Equity,1242.530975,2006-11-01,1679.009605,13.1,13.31,11.11,81.09,0,646.7,59.08,29,24,5,-1234,188,4837,542,608,0.1,6.6,33.8,39.96,9.2,4.343478261,13.12607945
Consumer Discretionary,AAPL.UW.Equity,1235.050059,2006-12-01,2116.615515,12.12,13.19,10.97,91.8,0,632,61.96,28,25,5,-1234,188,4837,542,608,0.1,6.6,33.8,33.18,8.75,3.792,-7.480916031
Consumer Discretionary,AAPL.UW.Equity,1236.122667,2007-01-01,3318.757932,12.25,13.97,11.7,86.29,0,650.5,54.51,44,34,734,-978,180,7123,1011,1325,0.2,6.5,30.6,33.38,7.29,4.578875171,1.072607261
Consumer Discretionary,AAPL.UW.Equity,1234.816544,2007-02-01,1675.846753,12.09,12.97,11.84,86.23,0,664.2,59.28,30,25,734,-978,180,7123,1011,1325,0.2,6.5,30.6,30.45,6.65,4.578947368,-1.306122449
Consumer Discretionary,AAPL.UW.Equity,1244.576676,2007-03-01,1989.156855,13.27,13.83,11.96,84.03,0,661.75,60.44,28,25,734,-978,180,7123,1011,1325,0.2,6.5,30.6,32.68,5.7,5.733333333,9.760132341
Consumer Discretionary,AAPL.UW.Equity,1252.037114,2007-04-01,1674.031604,14.26,14.6,12.8,94.14,0,677,63.98,29,25,1227,-1433,229,5286,774,988,0.1,6.5,29.3,34.25,4.91,6.975560081,7.460437076
Consumer Discretionary,AAPL.UW.Equity,1273.84637,2007-05-01,2087.824354,17.37,17.45,14.08,99.59,0,659.1,63.45,28,24,1227,-1433,229,5286,774,988,0.1,6.5,29.3,45.43,3.79,11.98680739,21.80925666
Consumer Discretionary,AAPL.UW.Equity,1274.191793,2007-06-01,2883.431565,17.43,18.23,16.49,121.09,0,650.5,67.49,37,28,1227,-1433,229,5286,774,988,0.1,6.5,29.3,45.32,3.33,13.60960961,0.345423143
Consumer Discretionary,AAPL.UW.Equity,1282.16655,2007-07-01,2905.372694,18.82,21.27,17.04,121.05,0,665.5,74.12,39,32,1696,396,142,5563,840,1079,0.1,7.9,34.2,52.01,2.5,20.804,7.974756168
Consumer Discretionary,AAPL.UW.Equity,1287.267506,2007-08-01,2914.977478,19.78,19.95,15.95,133.64,0,672,72.36,32,28,1696,396,142,5563,840,1079,0.1,7.9,34.2,40.82,7.85,5.2,5.100956429
